show,season,episode,title,duration,description,id,url,video_url,hls_url,still_url
ACTION SQUAD NOW!,1,1,Play Time’s over,9:17,,ee3f1c0e-337b-47d1-97fa-24ad5b44121a,https://www.showrunnerstudio.com/shows/action-league-now-b507f014/episodes?episode=ee3f1c0e-337b-47d1-97fa-24ad5b44121a,https://d2a132qjpri1we.cloudfront.net/combines/e696538a-600d-4a87-aa79-8ad919057cc7/3580/80427beb-3828-4944-9639-afe8c4a34fc4/mp4/3580_avc_1080p.mp4,https://d2a132qjpri1we.cloudfront.net/combines/e696538a-600d-4a87-aa79-8ad919057cc7/3580/80427beb-3828-4944-9639-afe8c4a34fc4/hls/3580.m3u8,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3580_avc_1080p.png
AS WE KNOW IT,1,1,It's the end of the world,6:01,This is a montage.I made to piece together the final scene of by short film,12cd56e2-98de-42e7-9793-1904c24f8887,https://www.showrunnerstudio.com/shows/total-collapse/episodes?episode=12cd56e2-98de-42e7-9793-1904c24f8887,https://d2a132qjpri1we.cloudfront.net/combines/fd5a42dc-5947-476d-a34a-a8d9b688c2ab/3651/81328eaa-4bb7-40e1-bcc8-14de710d2ecb/mp4/3651_avc_1080p.mp4,https://d2a132qjpri1we.cloudfront.net/combines/fd5a42dc-5947-476d-a34a-a8d9b688c2ab/3651/81328eaa-4bb7-40e1-bcc8-14de710d2ecb/hls/3651.m3u8,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/total-collapse/total-collapse_episode1_2026-08-31T02_55_48_177Z_lqmzkes3.png
Blotter,1,1,Take me to the river,4:16,,cf3ecf97-c563-4500-bc95-366f0b9fca86,https://www.showrunnerstudio.com/shows/blotter-ba52cf9e/episodes?episode=cf3ecf97-c563-4500-bc95-366f0b9fca86,https://d2a132qjpri1we.cloudfront.net/combines/51326fa1-91be-49c3-a5a1-cb88dd261613/3609/0d9a006a-e62b-4315-ae37-88b2c7b495a0/mp4/3609_avc_1080p.mp4,https://d2a132qjpri1we.cloudfront.net/combines/51326fa1-91be-49c3-a5a1-cb88dd261613/3609/0d9a006a-e62b-4315-ae37-88b2c7b495a0/hls/3609.m3u8,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/reference-images/51326fa1-91be-49c3-a5a1-cb88dd261613/BA897251-DF77-4ED4-B1F5-4D7340B5B2F6.jpg
BUTTFACE FACTORY,1,1,The Last Tick,1:15,,16f13906-b159-413d-a6aa-1c8d58b333fc,https://www.showrunnerstudio.com/shows/resonance-d1316448/episodes?episode=16f13906-b159-413d-a6aa-1c8d58b333fc,https://d2a132qjpri1we.cloudfront.net/combines/257fb519-c296-4f10-aa20-0b645e009961/3581/5b2128f3-ae66-4681-8fb5-562af62290de/mp4/3581_avc_1080p.mp4,https://d2a132qjpri1we.cloudfront.net/combines/257fb519-c296-4f10-aa20-0b645e009961/3581/5b2128f3-ae66-4681-8fb5-562af62290de/hls/3581.m3u8,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3581_avc_1080p.png
CHROMASHIFT: SENSORY COLLAPSE,1,1,Shattered Signal,1:15,,3620e4ba-5496-4355-aca4-b9574f46d558,https://www.showrunnerstudio.com/shows/chromashift-sensory-collapse/episodes?episode=3620e4ba-5496-4355-aca4-b9574f46d558,https://d2a132qjpri1we.cloudfront.net/combines/e1e82da6-9cc4-4460-b744-a85cba683cbd/3855/a4d1db59-6615-457b-a346-3aa4138309e9/mp4/3855_avc_1080p.mp4,https://d2a132qjpri1we.cloudfront.net/combines/e1e82da6-9cc4-4460-b744-a85cba683cbd/3855/a4d1db59-6615-457b-a346-3aa4138309e9/hls/3855.m3u8,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3855_avc_1080p.png
Cock Kung-Fu: The Legend of Noemotion,1,1,Intro,1:09,,4b55688f-beb3-4375-ade3-bc8e0dccf954,https://www.showrunnerstudio.com/shows/cock-kung-fu-the-legend-of-noemotion/episodes?episode=4b55688f-beb3-4375-ade3-bc8e0dccf954,https://d2a132qjpri1we.cloudfront.net/episodes/ff20e589-7d68-4242-bddf-ed4cf96f0d43/4b55688f-beb3-4375-ade3-bc8e0dccf954/9244ba3f-2ee4-4b8a-8359-81887b714cf2/mp4/4b55688f-beb3-4375-ade3-bc8e0dccf954_avc_1080p.mp4,https://d2a132qjpri1we.cloudfront.net/episodes/ff20e589-7d68-4242-bddf-ed4cf96f0d43/4b55688f-beb3-4375-ade3-bc8e0dccf954/9244ba3f-2ee4-4b8a-8359-81887b714cf2/hls/4b55688f-beb3-4375-ade3-bc8e0dccf954.m3u8,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/reference-images/ff20e589-7d68-4242-bddf-ed4cf96f0d43/CA765E12-7785-4E94-A4CA-EFFF69C6ECFF.jpg
DreamOS: REWIND,1,2,Already Gone(2026) Sci-Fi AI Short Film #specialforaaiff,20:35,This is a mix of mini showrunner shows to create a short film in multiple universes,01dc1aa3-4dd5-44bd-93f7-5fca983c0135,https://www.showrunnerstudio.com/shows/dreamos-rewind/episodes?episode=01dc1aa3-4dd5-44bd-93f7-5fca983c0135,https://d2a132qjpri1we.cloudfront.net/episodes/a8d26606-e336-48f7-9272-aeedf1125ea5/01dc1aa3-4dd5-44bd-93f7-5fca983c0135/ec9ab1df-c31a-4ccb-bb8b-33b4cf66d548/mp4/01dc1aa3-4dd5-44bd-93f7-5fca983c0135_avc_1080p.mp4,https://d2a132qjpri1we.cloudfront.net/episodes/a8d26606-e336-48f7-9272-aeedf1125ea5/01dc1aa3-4dd5-44bd-93f7-5fca983c0135/ec9ab1df-c31a-4ccb-bb8b-33b4cf66d548/hls/01dc1aa3-4dd5-44bd-93f7-5fca983c0135.m3u8,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/reference-images/a8d26606-e336-48f7-9272-aeedf1125ea5/2b8076e3-9cef-46f9-a425-c7a68109656f.jpg
Fat guy with cheese,1,1,Episode 1,1:00,,689e7e0b-c12a-46ac-bc0f-f297f362cbcf,https://www.showrunnerstudio.com/shows/fat-guy-with-cheese/episodes?episode=689e7e0b-c12a-46ac-bc0f-f297f362cbcf,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/combined/combined_2026-06-08T23_37_46_162Z.mp4,,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/fat-guy-with-cheese/fat-guy-with-cheese_episode1_2026-08-23T23_53_18_462Z_geuexk4c.png
Fat guy with cheese,1,2,Carbonara's Call,0:45,,6f67f5a5-bafc-403b-8f63-61ae2d69de06,https://www.showrunnerstudio.com/shows/fat-guy-with-cheese/episodes?episode=6f67f5a5-bafc-403b-8f63-61ae2d69de06,https://d2a132qjpri1we.cloudfront.net/combines/fe017f26-9deb-43f6-bb7b-a50bfeb1c45a/3605/747842fb-5f2c-4780-8a6e-fe6018ca2f6d/mp4/3605_avc_1080p.mp4,https://d2a132qjpri1we.cloudfront.net/combines/fe017f26-9deb-43f6-bb7b-a50bfeb1c45a/3605/747842fb-5f2c-4780-8a6e-fe6018ca2f6d/hls/3605.m3u8,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3605_avc_1080p.png
Fat guy with cheese,1,3,Extra Sharp,2:46,,9928845a-3823-4cb6-add5-dc2ee860087f,https://www.showrunnerstudio.com/shows/fat-guy-with-cheese/episodes?episode=9928845a-3823-4cb6-add5-dc2ee860087f,https://d2a132qjpri1we.cloudfront.net/combines/fe017f26-9deb-43f6-bb7b-a50bfeb1c45a/3606/74534f2c-00b4-4a9a-8ed6-edae83073946/mp4/3606_avc_1080p.mp4,https://d2a132qjpri1we.cloudfront.net/combines/fe017f26-9deb-43f6-bb7b-a50bfeb1c45a/3606/74534f2c-00b4-4a9a-8ed6-edae83073946/hls/3606.m3u8,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3606_avc_1080p.png
