kind,code,title,duration,description,url,thumbnail_url
combine,3979,Untitled,,,https://www.showrunnerstudio.com/app/combine/3979,
combine,3969,Beyond the Frame,0:45,,https://www.showrunnerstudio.com/app/combine/3969,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3969_avc_1080p.png
episode,3a2b766f-c907-4188-80da-f5ac196e8237,Big SURF energy,1:51,,https://www.showrunnerstudio.com/app/episode/3a2b766f-c907-4188-80da-f5ac196e8237,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/reference-images/68a918b7-299c-4071-ae5c-95b6a33b3b6a/DA6383D9-7837-4CD9-8670-5BA9D8FE4696.jpg
combine,3947,The Sunset Wipeout,0:30,,https://www.showrunnerstudio.com/app/combine/3947,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3947_avc_1080p.png
combine,3927,The Infinite Drop,0:30,,https://www.showrunnerstudio.com/app/combine/3927,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3927_avc_1080p.png
combine,3911,Beyond the Infinite Loop,1:30,,https://www.showrunnerstudio.com/app/combine/3911,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3911_avc_1080p.png
episode,51e7d07f-5afa-4970-abda-6bbde735361b,Byron's Gambit,1:15,,https://www.showrunnerstudio.com/app/episode/51e7d07f-5afa-4970-abda-6bbde735361b,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3907_avc_1080p.png
combine,3910,The Hallucination Exit,1:30,,https://www.showrunnerstudio.com/app/combine/3910,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3910_avc_1080p.png
combine,3907,Byron's Gambit,1:15,,https://www.showrunnerstudio.com/app/combine/3907,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3907_avc_1080p.png
episode,f33f5c15-a504-4b33-8032-9a908f2cc01a,What is this ai Sloppy?,11:15,,https://www.showrunnerstudio.com/app/episode/f33f5c15-a504-4b33-8032-9a908f2cc01a,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/reference-images/6016df4d-ab12-40f0-8bd1-776acf16f83d/d0bd2e9b-67d8-431c-b17c-d8d9d2fc0053.jpg
episode,8f3f03a7-742e-445c-99fa-18a3babe46c0,The start,2:15,,https://www.showrunnerstudio.com/app/episode/8f3f03a7-742e-445c-99fa-18a3babe46c0,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3891_avc_1080p.png
episode,4b55688f-beb3-4375-ade3-bc8e0dccf954,Intro,1:09,,https://www.showrunnerstudio.com/app/episode/4b55688f-beb3-4375-ade3-bc8e0dccf954,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/reference-images/ff20e589-7d68-4242-bddf-ed4cf96f0d43/CA765E12-7785-4E94-A4CA-EFFF69C6ECFF.jpg
combine,3891,Vessel of Choice,2:15,,https://www.showrunnerstudio.com/app/combine/3891,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3891_avc_1080p.png
combine,3879,The Bootleg Broadcast,0:55,,https://www.showrunnerstudio.com/app/combine/3879,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3879_avc_1080p.png
episode,2eb52ec0-f1c4-4de5-b3c2-1033052e1a53,High Spirits,0:45,,https://www.showrunnerstudio.com/app/episode/2eb52ec0-f1c4-4de5-b3c2-1033052e1a53,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3877_avc_1080p.png
episode,9c8186fa-af58-4e64-a7b8-8d32a67a5709,The Zest of the Void,3:07,,https://www.showrunnerstudio.com/app/episode/9c8186fa-af58-4e64-a7b8-8d32a67a5709,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3875_avc_1080p.png
episode,d25ce06b-26ba-4ef8-b00a-582548354c6d,Live Feed,6:58,,https://www.showrunnerstudio.com/app/episode/d25ce06b-26ba-4ef8-b00a-582548354c6d,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3779_avc_1080p.png
episode,3620e4ba-5496-4355-aca4-b9574f46d558,Shattered Signal,1:15,,https://www.showrunnerstudio.com/app/episode/3620e4ba-5496-4355-aca4-b9574f46d558,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3855_avc_1080p.png
episode,d473f402-40f7-43a2-a942-b9b1bbf44fcf,Off the Map,1:30,,https://www.showrunnerstudio.com/app/episode/d473f402-40f7-43a2-a942-b9b1bbf44fcf,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3876_avc_1080p.png
episode,b18f7a91-a3fe-4e0d-8f9d-bd6d06d9e883,Paper Crane Justice,1:00,,https://www.showrunnerstudio.com/app/episode/b18f7a91-a3fe-4e0d-8f9d-bd6d06d9e883,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3859_avc_1080p.png
combine,3877,High Spirits,0:45,,https://www.showrunnerstudio.com/app/combine/3877,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3877_avc_1080p.png
combine,3876,Off the Map,1:30,,https://www.showrunnerstudio.com/app/combine/3876,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3876_avc_1080p.png
combine,3875,The Zest of the Void,3:07,,https://www.showrunnerstudio.com/app/combine/3875,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3875_avc_1080p.png
combine,3871,Freshly Caught,0:30,,https://www.showrunnerstudio.com/app/combine/3871,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3871_avc_1080p.png
combine,3870,The Puddle Count,0:30,,https://www.showrunnerstudio.com/app/combine/3870,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3870_avc_1080p.png
combine,3869,Expired in Aisle 4,0:45,,https://www.showrunnerstudio.com/app/combine/3869,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3869_avc_1080p.png
combine,3868,Unfiled Chaos,1:00,,https://www.showrunnerstudio.com/app/combine/3868,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3868_avc_1080p.png
combine,3867,The Great Dissolve,0:45,,https://www.showrunnerstudio.com/app/combine/3867,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3867_avc_1080p.png
combine,3866,Overwrite: Wren,1:15,,https://www.showrunnerstudio.com/app/combine/3866,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3866_avc_1080p.png
combine,3865,The Final Frequency,0:45,,https://www.showrunnerstudio.com/app/combine/3865,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3865_avc_1080p.png
combine,3864,The Sap Sings,0:45,,https://www.showrunnerstudio.com/app/combine/3864,https://watch.showrunnerapp.xyz/storage/v1/object/public/videos/3864_avc_1080p.png
