name,genre,episodes,scenes,tagline,logline,id,slug,url,poster_url
#**SIGNAL DRIFT**#,sci-fi,0,6,,,c6ae7323-e883-49fe-b4f5-bfbaebd634a8,signal-drift,https://www.showrunnerstudio.com/shows/signal-drift,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/c6ae7323-e883-49fe-b4f5-bfbaebd634a8/poster_1785731041374_aevqjjmwvrp.png
ACTION SQUAD NOW!,live-action,1,12,,,e696538a-600d-4a87-aa79-8ad919057cc7,action-league-now-b507f014,https://www.showrunnerstudio.com/shows/action-league-now-b507f014,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/e696538a-600d-4a87-aa79-8ad919057cc7/poster_1787710507875_c8zqqskzwcd.png
Amityville Candycorn,fantasy,0,0,,,8f52a6ad-cde6-471a-a07e-843784731d76,amityville-candycorn,https://www.showrunnerstudio.com/shows/amityville-candycorn,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/8f52a6ad-cde6-471a-a07e-843784731d76/poster_1789748140226_a3ms3alvg55.png
AS WE KNOW IT,sci-fi,1,12,,,fd5a42dc-5947-476d-a34a-a8d9b688c2ab,total-collapse,https://www.showrunnerstudio.com/shows/total-collapse,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/fd5a42dc-5947-476d-a34a-a8d9b688c2ab/poster_1788136587205_mz70j2hi3hr.png
Blotter,family,1,12,,,51326fa1-91be-49c3-a5a1-cb88dd261613,blotter-ba52cf9e,https://www.showrunnerstudio.com/shows/blotter-ba52cf9e,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/51326fa1-91be-49c3-a5a1-cb88dd261613/poster_1787963807640_65jftro2cy4.png
BUTTFACE FACTORY,family,1,5,,,257fb519-c296-4f10-aa20-0b645e009961,resonance-d1316448,https://www.showrunnerstudio.com/shows/resonance-d1316448,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/257fb519-c296-4f10-aa20-0b645e009961/poster_1781182243064_5en1rjohqn6.png
Center Core Nevermore,sci-fi,0,0,,,6491d876-3302-4e3f-bcd5-18f83d6bd69e,center-core-nevermore,https://www.showrunnerstudio.com/shows/center-core-nevermore,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/6491d876-3302-4e3f-bcd5-18f83d6bd69e/poster_1790071031386_r8c1661squs.png
CHANNEL 86,horror,0,3,,,0593b191-9a1d-4d86-a177-d41027b6ed09,channel-86,https://www.showrunnerstudio.com/shows/channel-86,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/0593b191-9a1d-4d86-a177-d41027b6ed09/poster_1789778604500_ubx07r5n5y.png
CHROMASHIFT: SENSORY COLLAPSE,anime,1,6,,,e1e82da6-9cc4-4460-b744-a85cba683cbd,chromashift-sensory-collapse,https://www.showrunnerstudio.com/shows/chromashift-sensory-collapse,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/e1e82da6-9cc4-4460-b744-a85cba683cbd/poster_1789062131300_7ngk5d477sp.png
Cock Kung-Fu: The Legend of Noemotion,fantasy,1,8,,,ff20e589-7d68-4242-bddf-ed4cf96f0d43,cock-kung-fu-the-legend-of-noemotion,https://www.showrunnerstudio.com/shows/cock-kung-fu-the-legend-of-noemotion,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/ff20e589-7d68-4242-bddf-ed4cf96f0d43/poster_1789489494795_d8jqwmuoe77.png
Daydream State,sci-fi,0,3,,,f6518d44-67d9-4966-b727-59286371c6ad,daydream-state,https://www.showrunnerstudio.com/shows/daydream-state,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/f6518d44-67d9-4966-b727-59286371c6ad/poster_1789618466325_rzb7xuya4zl.png
DreamOS: REWIND,sci-fi,1,5,,,a8d26606-e336-48f7-9272-aeedf1125ea5,dreamos-rewind,https://www.showrunnerstudio.com/shows/dreamos-rewind,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/a8d26606-e336-48f7-9272-aeedf1125ea5/poster_1788231124685_syyq6ju8qy9.png
Driftwave Static,sci-fi,0,1,,,66ba396d-c6fd-4431-865f-e587b3d8ef9e,driftwave-static,https://www.showrunnerstudio.com/shows/driftwave-static,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/66ba396d-c6fd-4431-865f-e587b3d8ef9e/poster_1790043499891_ph5kelc9me.png
Fat guy with cheese,horror,3,12,,,fe017f26-9deb-43f6-bb7b-a50bfeb1c45a,fat-guy-with-cheese,https://www.showrunnerstudio.com/shows/fat-guy-with-cheese,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/fe017f26-9deb-43f6-bb7b-a50bfeb1c45a/poster_1780777178214_iiwfy6535hs.png
FEVER DREAM,horror,0,6,,,03265c70-17df-48c5-9236-47f764790a16,fever-dream-3cd2f5dc,https://www.showrunnerstudio.com/shows/fever-dream-3cd2f5dc,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/03265c70-17df-48c5-9236-47f764790a16/poster_1788225107555_imsyel1b66.png
First-Person Survival.exe,horror,4,12,,,9ebf25ec-18e3-42aa-a244-7d9a62ca8d06,seven-days,https://www.showrunnerstudio.com/shows/seven-days,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/9ebf25ec-18e3-42aa-a244-7d9a62ca8d06/poster_1780926175825_r2w0zc0fc7.png
G-O-D-Z-L-A-N-D,reality-tv,1,12,,,d68ad0d1-afb4-43d9-bb62-1c7bbaee20c7,the-goldmask-show,https://www.showrunnerstudio.com/shows/the-goldmask-show,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/d68ad0d1-afb4-43d9-bb62-1c7bbaee20c7/poster_1788394683905_jhcxjalih78.png
Garbage blossoms,fantasy,0,1,,,83c76d3f-8e56-49f3-9e74-9c7bb4deeeff,garbage-blossoms,https://www.showrunnerstudio.com/shows/garbage-blossoms,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/83c76d3f-8e56-49f3-9e74-9c7bb4deeeff/poster_1787806051551_22jr7v4gh5h.png
Grand Theft auto,crime,0,11,,,7462ff3a-cbf3-4b53-84cf-7af889fd89a5,grand-theft-auto-bcf6628e,https://www.showrunnerstudio.com/shows/grand-theft-auto-bcf6628e,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/7462ff3a-cbf3-4b53-84cf-7af889fd89a5/poster_1790089126286_f4c0l7pvohd.png
Gridwalker: The Last Mirage,sci-fi,0,2,,,c0885239-78fa-42fd-ac39-8bd99ae4e48c,gridwalker-the-last-mirage,https://www.showrunnerstudio.com/shows/gridwalker-the-last-mirage,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/c0885239-78fa-42fd-ac39-8bd99ae4e48c/poster_1788462879051_duzeo7f58a7.png
HOUSE PARTY,anime,0,1,,,3d1025bf-aba9-4a49-bed5-f778bb1e6258,house-party,https://www.showrunnerstudio.com/shows/house-party,https://watch.showrunnerapp.xyz/storage/v1/object/public/video-assets/3d1025bf-aba9-4a49-bed5-f778bb1e6258/poster_1789435034837_0l3bz0upvhs.png
